team,valuation2019,valuation2023,valuationChange,revenue2019,revenue2023,revenueChange,icons
Ferrari,1350,3900,189,426,680,60,"img/ferrari.avif"
Mercedes,1020,3800,274,451,700,55,"img/mercedes.avif"
Red Bull ,640,2600,306,327,510,56,"img/red-bull.avif"
McLaren,620,2200,255,165,490,197,"img/mclaren.avif"
Alpine,430,1400,226,195,325,67,"img/alpine.avif"
Aston Martin,130,1380,958,104,290,179,"img/aston-martin.avif"
VCARB,200,1130,463,172,260,51,"img/vcarb.avif"
Kick Sauber,110,900,757,84,210,150,"img/kick-sauber.avif"
Haas,120,780,578,95,180,89,"img/haas.avif"
Williams,400,730,81,176,190,8,"img/williams.png"
